"bin","profile","leads"
"0","F 40-44 YRS R10001 - R20000 exp_score_0_299 xds_score_500_550",1
"0","F 50-54 YRS R10001 - R20000 exp_score_0_299 xds_score_500_550",1
"0","M 65-69 YRS R5001 - R10000 exp_score_400_499 xds_score_0_499",1
"0","F 40-44 YRS R10001 - R20000 exp_score_300_399 xds_score_500_550",1
"0","M 65-69 YRS R5001 - R10000 exp_score_400_499 xds_score_701_750",1
"0","M 65-69 YRS R5001 - R10000 exp_score_500_599 xds_score_500_550",1
"0","M 50-54 YRS R20001 + exp_score_0_299 xds_score_701_750",1
"0","F 45-49 YRS R5001 - R10000 exp_score_0_299 xds_score_500_550",1
"0","F 45-49 YRS R20001 + exp_score_0_299 xds_score_751_800",1
"0","F 45-49 YRS R20001 + exp_score_0_299 xds_score_701_750",1
"0","F 45-49 YRS R20001 + exp_score_0_299 xds_score_651_700",1
"0","M 55-59 YRS R10001 - R20000 exp_score_0_299 xds_score_751_800",2
"0","M 20-24 YRS R5001 - R10000 exp_score_0_299 xds_score_751_800",2
"0","M 20-24 YRS R5001 - R10000 exp_score_0_299 xds_score_701_750",2
"0","F 45-49 YRS R5001 - R10000 exp_score_0_299 xds_score_0_499",2
"0","F 55-59 YRS R20001 + exp_score_0_299 xdsgreater_than_801",2
"0","M 65-69 YRS R5001 - R10000 exp_score_400_499 xds_score_551_600",2
"0","F 55-59 YRS R10001 - R20000 exp_score_0_299 xds_score_751_800",2
"0","F 25-29 YRS R20001 + exp_score_0_299 xds_score_601_650",2
"0","F 35-39 YRS R20001 + exp_score_0_299 xdsgreater_than_801",2
"0","F 25-29 YRS R20001 + exp_score_0_299 xds_score_751_800",2
"0","M 20-24 YRS R10001 - R20000 exp_score_0_299 xds_score_651_700",2
"0","F 35-39 YRS R20001 + exp_score_0_299 xds_score_500_550",2
"0","M 20-24 YRS R0 - R5000 exp_score_400_499 xds_score_701_750",2
"0","M 20-24 YRS R0 exp_score_400_499 xdsgreater_than_801",2
